id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
408	biomass growth	-0.8346	0.0967	4	231	356	24	2017.25
409	biomass production	-0.8294	-0.1592	4	968	2660	165	2016.5152
410	biomass productivity	-0.8987	0.0444	4	794	2537	150	2016.5067
411	biomass pyrolysis	-0.1765	0.2597	1	359	532	40	2016.225
412	biomass residue	-0.4679	-0.289	2	307	401	29	2016.6552
413	biomass sample	-0.0519	0.362	1	167	196	14	2015.7857
414	biomass supply	-0.4843	-0.7822	2	190	259	18	2015.0556
415	biomass yield	-0.8054	-0.0737	4	587	1189	71	2017.0423
416	biomethane	-0.5186	-0.6155	2	502	967	65	2016.8
417	biomethane production	-0.6081	-0.4572	2	195	262	20	2017.1
